neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction
inh_BPC,864691136923311076,inhibitory_BPC,BPC,47,4,517.6,20086.490375580393,0.048357913550779286,139785.73078989668,4,3,1,0.75
inh_BPC,864691136923311076,inhibitory_BPC,BPC,48,6,536.0,15968.08790491491,0.03777732020239141,inf,1,0,1,0.0
inh_BPC,864691136923311076,inhibitory_BPC,BPC,49,6,512.6666666666666,13903.154804524136,0.033632290486563694,inf,2,1,1,0.5
inh_BPC,864691136923311076,inhibitory_BPC,BPC,50,4,520.8666666666667,86140.47593198578,0.20673052696574565,105900.79277198773,20,13,7,0.65
inh_BPC,864691136923311076,inhibitory_BPC,BPC,51,4,680.0,24030.80238230405,0.05047478096872981,74845.95599714687,13,8,5,0.6153846153846154
inh_BPC,864691136923311076,inhibitory_BPC,BPC,52,6,762.5217391304348,33034.51436003213,0.06552430740529058,inf,9,3,6,0.3333333333333333
inh_BPC,864691136923311076,inhibitory_BPC,BPC,53,6,769.2173913043479,31500.0262109325,0.06220810832798279,inf,4,1,3,0.25
inh_BPC,864691136923311076,inhibitory_BPC,BPC,54,6,671.7446808510638,68874.12378511771,0.1455507997489932,inf,9,2,7,0.2222222222222222
inh_BPC,864691136923311076,inhibitory_BPC,BPC,55,6,615.7142857142857,7989.097014043249,0.01763472563671073,inf,1,0,1,0.0
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,0,0,1090.0,16433.167440529312,0.027262687079149278,53469.442516631774,5,3,2,0.6
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,1,1,546.5945945945946,107788.27606548012,0.25252215511212395,99146.99682910717,20,12,8,0.6
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,2,3,882.4444444444445,11989.73958206865,0.022106841170712786,107091.06605481761,1,1,0,1.0
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,3,3,535.2631578947369,139044.1409759908,0.32917712263977583,170618.2667517787,34,25,9,0.7352941176470589
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,4,2,799.1428571428571,82296.29018892803,0.15945152403023324,41148.14509446402,60,7,53,0.11666666666666667
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,5,1,1302.125,45252.858796367116,0.06868791112885665,22626.429398183558,15,5,10,0.3333333333333333
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,6,4,697.3584905660377,77758.94316610886,0.16128089703046397,151965.40742890636,26,21,5,0.8076923076923077
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,7,4,713.2173913043479,65998.7733433786,0.13535849870662506,146085.32251754124,22,15,7,0.6818181818181818
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,8,1,997.7142857142857,29849.12450426703,0.051759387629437145,76610.58848902995,7,5,2,0.7142857142857143
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,9,1,876.5714285714286,17803.987751947006,0.03293701660432413,70588.02011286994,3,1,2,0.3333333333333333
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,10,6,615.7297297297297,53706.32815497486,0.11854712522281671,223824.67960198488,16,12,4,0.75
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,11,6,556.9142857142857,49036.283207337605,0.11381093540923143,221489.65712816626,12,8,4,0.6666666666666666
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,12,4,668.5185185185185,38435.885769026514,0.0814218189678569,276311.27757414855,11,9,2,0.8181818181818182
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,13,4,581.8181818181819,29908.11774734885,0.06791349246611265,272047.3935633097,5,3,2,0.6
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,14,7,618.9722222222222,106498.97843255172,0.2344609333605942,inf,6,3,3,0.5
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,15,7,625.2121212121212,46827.7203811006,0.10257698954951301,inf,8,1,7,0.125
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,16,2,710.2253521126761,104306.96898906122,0.21437585405892204,143688.63523569406,24,17,7,0.7083333333333334
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,17,2,973.0,9561.045522619817,0.016788411019508183,96315.67350247338,2,0,2,0.0
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,18,7,443.14285714285717,8947.198275385279,0.02327961600058767,inf,1,1,0,1.0
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,19,7,506.57142857142856,7572.735721046367,0.01842863135336171,inf,1,1,0,1.0
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,20,2,677.0357142857143,82390.051418668,0.17343215155912273,120685.03969817742,18,14,4,0.7777777777777778
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,21,2,522.0,68962.75948856097,0.16532556171963975,113971.39373312393,22,8,14,0.36363636363636365
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,22,3,645.1666666666666,70187.62673630909,0.15135097558431007,117390.10355708258,14,13,1,0.9285714285714286
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,23,3,556.6095238095238,153219.54938378307,0.35571279872981304,158906.06488081958,34,24,10,0.7058823529411765
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,24,5,684.6666666666666,20748.70376951062,0.04343221768598461,201219.23089671612,5,5,0,1.0
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,25,5,623.7142857142857,17970.93968924205,0.039412916058926065,199830.34885658184,3,3,0,1.0
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,26,6,528.4285714285714,40398.02186617521,0.09625594933172524,229014.82963429048,8,7,1,0.875
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,27,6,459.4,11983.6630814517,0.030623492741395336,214807.65024192873,1,1,0,1.0
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,28,5,566.7368421052631,26154.806524055686,0.060175736745622134,301552.26398064557,8,6,2,0.75
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,29,5,573.2,11507.298561637162,0.02632575999847878,294228.5099994363,4,3,1,0.75
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,30,6,550.72,72510.5513644406,0.16923742567511024,247848.85846369172,20,17,3,0.85
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,31,6,571.0588235294117,48400.356300374464,0.1109350447621611,235793.76093165867,8,7,1,0.875
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,32,5,527.1538461538462,75900.42347722594,0.18106567858543274,217034.92092784352,22,15,7,0.6818181818181818
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,33,5,714.5714285714286,17886.80633526692,0.036649715565281564,188028.112356864,7,6,1,0.8571428571428571
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,34,7,595.741935483871,44726.002810655074,0.10036715829199094,inf,0,0,0,
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,35,7,484.44444444444446,24277.383434949155,0.06041440672494806,inf,1,1,0,1.0
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,36,7,487.05882352941177,23674.923564496225,0.05875685004265446,inf,2,1,1,0.5
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,37,7,467.46666666666664,20025.626692243775,0.050730765913859,inf,0,0,0,
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,38,3,564.2,13390.25252010244,0.03087684045110592,168575.19166756264,2,1,1,0.5
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,39,3,503.4166666666667,69041.02308430447,0.1685404118598677,196400.57694966366,14,7,7,0.5
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,40,3,700.047619047619,61251.2149594106,0.12679774895883458,226467.72720993,24,20,4,0.8333333333333334
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,41,3,539.5081967213115,88974.890479605,0.20981139233692522,240329.5649700272,17,9,8,0.5294117647058824
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,42,7,617.8947368421053,83956.64910986664,0.18499435485566512,inf,3,2,1,0.6666666666666666
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,43,7,571.8260869565217,32071.12612434361,0.07345863515609825,inf,0,0,0,
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,44,4,534.3272727272728,80709.82157795157,0.1912420294479608,215625.22871658963,25,20,5,0.8
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,45,4,522.4444444444445,10056.096210822914,0.024097389055695168,180298.36603302532,2,1,1,0.5
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,46,4,657.8260869565217,135990.94379338063,0.29041234203347227,220479.38882192742,27,21,6,0.7777777777777778
inh_BPC_2,864691135715512858,inhibitory_BPC,BPC,47,4,499.1929824561403,81687.54225813286,0.20025447100908095,193327.68805430352,16,11,5,0.6875
